Gene stable ID,Golden Hamster gene stable ID,Golden Hamster gene name,%id. target Golden Hamster gene identical to query gene,%id. query gene identical to target Golden Hamster gene,"Golden Hamster orthology confidence [0 low, 1 high]",Gene name
ENSMUSG00000064372,,,,,,mt-Tp
ENSMUSG00000108287,,,,,,Gm44473
ENSMUSG00000113563,,,,,,Gm2492
ENSMUSG00000107416,,,,,,Gm44030
ENSMUSG00000087637,,,,,,Gm11986
ENSMUSG00000102294,,,,,,Gm37544
ENSMUSG00000099896,,,,,,Gm29278
ENSMUSG00000113888,,,,,,LOC667541
ENSMUSG00000083145,,,,,,Gm12579
ENSMUSG00000099867,,,,,,Gm29320
ENSMUSG00000020303,ENSMAUG00000008254,Stc2,89.8649,89.5623,1,Stc2
ENSMUSG00000094205,,,,,,Gm8926
ENSMUSG00000070606,,,,,,Gm10298
ENSMUSG00000083255,,,,,,Gm12738
ENSMUSG00000057817,,,,,,Olfr1446
ENSMUSG00000038422,ENSMAUG00000010212,Hdhd3,83.2669,83.2669,1,Hdhd3
ENSMUSG00000049287,ENSMAUG00000020575,Iba57,85.7542,85.7542,1,Iba57
ENSMUSG00000107836,,,,,,Gm5315
ENSMUSG00000058743,ENSMAUG00000013149,Kcnj14,97.4654,97.4654,1,Kcnj14
ENSMUSG00000068606,,,,,,Gm4841
ENSMUSG00000090126,,,,,,4930519F09Rik
ENSMUSG00000053490,,,,,,Trim60
ENSMUSG00000062661,,,,,,Ncs1
ENSMUSG00000047284,ENSMAUG00000004720,Neurl4,76.9034,97.8031,1,Neurl4
ENSMUSG00000043319,ENSMAUG00000018326,Cox8c,69.4444,71.4286,1,Cox8c
ENSMUSG00000110301,,,,,,Gm35363
ENSMUSG00000058873,,,,,,Gm5582
ENSMUSG00000013150,ENSMAUG00000008117,Gfod2,77.4026,89.4895,1,Gfod2
ENSMUSG00000002804,ENSMAUG00000011230,Nudt14,88.7387,82.7731,1,Nudt14
ENSMUSG00000039194,ENSMAUG00000012835,Rlbp1,86.1199,91.6107,1,Rlbp1
ENSMUSG00000089822,,,,,,Gm15759
ENSMUSG00000100350,,,,,,Gm29091
ENSMUSG00000091292,,,,,,Gm3104
ENSMUSG00000112747,,,,,,Gm48721
ENSMUSG00000107650,,,,,,Gm44032
ENSMUSG00000110434,,,,,,Rps7-ps1
ENSMUSG00000103190,,,,,,Gm34716
ENSMUSG00000111991,,,,,,Gm47835
ENSMUSG00000108284,,,,,,Gm44182
ENSMUSG00000107972,,,,,,Gm18198
ENSMUSG00000108237,,,,,,Gm19757
ENSMUSG00000084318,,,,,,Gm11987
ENSMUSG00000079554,ENSMAUG00000001162,Aox2,89.145,90.4223,1,Aox2
ENSMUSG00000049109,ENSMAUG00000016884,Themis,80.9748,87.1404,1,Themis
ENSMUSG00000108775,,,,,,Gm44540
ENSMUSG00000100892,ENSMAUG00000014515,,29.7297,51.9685,0,Gm20897
ENSMUSG00000101193,,,,,,Gm21849
ENSMUSG00000090699,,,,,,Gm9071
ENSMUSG00000079042,ENSMAUG00000010344,Apela,79.6296,81.1321,1,Apela
ENSMUSG00000102867,,,,,,Gm37635
ENSMUSG00000108259,,,,,,Gm6727
ENSMUSG00000086470,,,,,,Gm12580
ENSMUSG00000112775,,,,,,Gm48722
ENSMUSG00000111594,,,,,,Gm3365
ENSMUSG00000112156,,,,,,Gm48723
ENSMUSG00000108270,,,,,,Gm4602
ENSMUSG00000095831,ENSMAUG00000016432,Olfr453,92.7445,92.7445,1,Olfr453
ENSMUSG00000104578,,,,,,Gm8929
ENSMUSG00000021456,ENSMAUG00000017596,Fbp2,97.6401,97.6401,1,Fbp2
ENSMUSG00000075227,ENSMAUG00000002236,Znhit2,89.4737,89.4737,1,Znhit2
ENSMUSG00000044164,ENSMAUG00000010090,Rnf182,97.9757,97.9757,1,Rnf182
ENSMUSG00000041886,ENSMAUG00000014905,Macc1,86.0164,85.9155,1,Macc1
ENSMUSG00000105479,,,,,,Gm43132
ENSMUSG00000107349,,,,,,Gm6655
ENSMUSG00000106492,,,,,,Gm29707
ENSMUSG00000107818,,,,,,Gm44034
ENSMUSG00000100315,,,,,,1700031P21Rik
ENSMUSG00000114442,,,,,,F630042J09Rik
ENSMUSG00000055452,,,,,,Gm7353
ENSMUSG00000109718,ENSMAUG00000009549,Trim61,51.6269,51.9651,1,Trim61
ENSMUSG00000031633,ENSMAUG00000018790,Slc25a4,96.9799,96.9799,1,Slc25a4
ENSMUSG00000100615,,,,,,Gm5511
ENSMUSG00000039063,ENSMAUG00000010548,Echdc3,88.6667,88.6667,1,Echdc3
ENSMUSG00000105088,,,,,,Gm17978
ENSMUSG00000107523,,,,,,Gm44451
ENSMUSG00000001761,ENSMAUG00000010178,Smo,89.4073,93.6592,1,Smo
ENSMUSG00000112131,,,,,,Gm48724
ENSMUSG00000037103,ENSMAUG00000010865,Dcaf15,69.1223,88.9113,1,Dcaf15
ENSMUSG00000106189,,,,,,Gm42933
ENSMUSG00000112147,,,,,,Gm18244
ENSMUSG00000100915,,,,,,Gm29321
ENSMUSG00000037300,ENSMAUG00000019020,Ttc13,92.2266,86.5266,1,Ttc13
ENSMUSG00000020635,ENSMAUG00000016519,Fkbp1b,98.1481,98.1481,1,Fkbp1b
ENSMUSG00000038663,ENSMAUG00000010857,Fsd2,81.5642,85.0073,1,Fsd2
ENSMUSG00000108044,,,,,,Gm44459
ENSMUSG00000114121,,,,,,Gm47728
ENSMUSG00000109965,,,,,,Gm45274
ENSMUSG00000039765,ENSMAUG00000009103,Cc2d2a,92.5903,92.7039,1,Cc2d2a
ENSMUSG00000090942,,,,,,F830016B08Rik
ENSMUSG00000112541,,,,,,Gm9072
ENSMUSG00000106295,,,,,,Gm42932
ENSMUSG00000104927,,,,,,Gm43388
ENSMUSG00000109805,,,,,,Gm45886
ENSMUSG00000112240,,,,,,Gm48310
ENSMUSG00000105128,,,,,,Gm42870
ENSMUSG00000109650,,,,,,Gm45448
ENSMUSG00000033706,ENSMAUG00000010932,Smyd5,92.5481,92.3261,1,Smyd5
ENSMUSG00000118361,,,,,,Gm50237
ENSMUSG00000107217,,,,,,4930524B17Rik
ENSMUSG00000107956,,,,,,Speer9-ps1
ENSMUSG00000091924,,,,,,Vmn1r185
ENSMUSG00000107240,,,,,,Gm43231
ENSMUSG00000087485,,,,,,Gm13383
ENSMUSG00000092168,,,,,,Gm9075
ENSMUSG00000087125,,,,,,A230108P19Rik
ENSMUSG00000118413,,,,,,Gm29708
ENSMUSG00000113192,,,,,,Gm18032
ENSMUSG00000024513,ENSMAUG00000013342,Mbd2,88.6473,89.0777,1,Mbd2
ENSMUSG00000106885,,,,,,Eif3s6-ps4
ENSMUSG00000031489,ENSMAUG00000019598,Adrb3,87.75,86.8812,1,Adrb3
ENSMUSG00000082648,,,,,,Gm11366
ENSMUSG00000098947,,,,,,V1rg10
ENSMUSG00000076939,,,,,,Iglv3
ENSMUSG00000038732,ENSMAUG00000017913,Mboat1,93.2927,93.2927,1,Mboat1
ENSMUSG00000090577,,,,,,Gm3027
ENSMUSG00000101050,,,,,,Gm28774
ENSMUSG00000102968,,,,,,Gm35070
ENSMUSG00000043448,ENSMAUG00000020150,Gjc2,96.5909,96.5909,1,Gjc2
ENSMUSG00000021431,ENSMAUG00000011944,Snrnp48,93.7685,94.0476,1,Snrnp48
ENSMUSG00000110250,,,,,,Gm9077
ENSMUSG00000096769,ENSMAUG00000014515,,28.3784,49.6063,0,Gm21117
ENSMUSG00000105722,,,,,,Gm18187
ENSMUSG00000019841,ENSMAUG00000017887,Rev3l,83.6964,89.1809,1,Rev3l
ENSMUSG00000103371,ENSMAUG00000014515,,29.7297,51.9685,0,Gm35134
ENSMUSG00000112146,,,,,,Gm46210
ENSMUSG00000106586,,,,,,1700013M08Rik
ENSMUSG00000094036,,,,,,Gm6465
ENSMUSG00000092275,,,,,,Gm20465
ENSMUSG00000103489,,,,,,Gm37998
ENSMUSG00000054753,ENSMAUG00000013595,AU018091,77.924,82.3802,1,AU018091
ENSMUSG00000089793,,,,,,Gm16112
ENSMUSG00000103796,,,,,,Gm38094
ENSMUSG00000105766,,,,,,Gm19666
ENSMUSG00000074978,,,,,,Actg-ps1
ENSMUSG00000090197,,,,,,Dnaja1-ps
ENSMUSG00000109674,,,,,,Gm45470
ENSMUSG00000018765,ENSMAUG00000002021,Fxr2,98.5163,98.6627,1,Fxr2
ENSMUSG00000102552,,,,,,Gm21763
ENSMUSG00000099793,,,,,,Gm28775
ENSMUSG00000073152,,,,,,Gm10475
ENSMUSG00000107100,,,,,,Gm18482
ENSMUSG00000057315,ENSMAUG00000014737,Arhgap24,74.8327,81.1321,1,Arhgap24
ENSMUSG00000094282,ENSMAUG00000011569,Cfap73,59.8039,60.596,1,Cfap73
ENSMUSG00000104426,,,,,,Gm38369
ENSMUSG00000094612,,,,,,Olfr491
ENSMUSG00000051729,,,,,,Gm5087
ENSMUSG00000102304,,,,,,Gm35843
ENSMUSG00000089910,,,,,,Gm16113
ENSMUSG00000100365,,,,,,Gm29319
ENSMUSG00000044633,,,,,,B530045E10Rik
ENSMUSG00000090226,,,,,,Gm16110
ENSMUSG00000084211,,,,,,Gm11949
ENSMUSG00000099985,,,,,,Gm28317
ENSMUSG00000060303,,,,,,Olfr1447
ENSMUSG00000090008,,,,,,Gm16111
ENSMUSG00000107191,,,,,,Gm43579
ENSMUSG00000106814,,,,,,Gm43501
ENSMUSG00000029507,ENSMAUG00000001482,Pus1,91.61,95.5083,1,Pus1
ENSMUSG00000042453,ENSMAUG00000018537,Reln,87.9226,93.4009,1,Reln
ENSMUSG00000038213,ENSMAUG00000014351,,45.2328,79.6875,0,Tapbpl
ENSMUSG00000029599,ENSMAUG00000011051,Ddx54,92.1053,92.4225,1,Ddx54
ENSMUSG00000112111,,,,,,Gm47834
ENSMUSG00000109497,,,,,,Olfr492
ENSMUSG00000109160,,,,,,4930598N05Rik
ENSMUSG00000099562,,,,,,Gm19027
ENSMUSG00000101853,,,,,,Gm28627
ENSMUSG00000038242,ENSMAUG00000006193,Aox4,62.2754,80.5421,1,Aox4
ENSMUSG00000083548,,,,,,Gm11514
ENSMUSG00000004069,ENSMAUG00000002911,Dnaja3,87.2917,91.2854,1,Dnaja3
ENSMUSG00000034031,ENSMAUG00000008308,Ccdc182,90.7895,90.7895,1,Ccdc182
ENSMUSG00000112406,,,,,,4921515L22Rik
ENSMUSG00000006715,ENSMAUG00000014978,Gmnn,56.7961,82.9787,1,Gmnn
ENSMUSG00000090665,,,,,,Gad1-ps
ENSMUSG00000036560,ENSMAUG00000021244,Lgi4,93.6685,93.6685,1,Lgi4
ENSMUSG00000112074,,,,,,Gm48278
ENSMUSG00000108973,,,,,,Gm44555
ENSMUSG00000118578,,,,,,AL845275.1
ENSMUSG00000044502,ENSMAUG00000016947,Bod1,97.1098,97.1098,1,Bod1
ENSMUSG00000112265,,,,,,Gm34983
ENSMUSG00000062519,ENSMAUG00000016702,Zfp398,92.535,92.535,1,Zfp398
ENSMUSG00000035383,ENSMAUG00000014017,Pmch,92.1212,92.1212,1,Pmch
ENSMUSG00000085716,,,,,,Gm13388
ENSMUSG00000030337,ENSMAUG00000013113,Vamp1,94.0678,88.8,1,Vamp1
ENSMUSG00000112713,,,,,,Gm48281
ENSMUSG00000026812,ENSMAUG00000021557,Tsc1,93.6262,93.7069,1,Tsc1
ENSMUSG00000112060,,,,,,Gm48279
ENSMUSG00000112082,,,,,,Gm35035
ENSMUSG00000112059,,,,,,Gm48282
ENSMUSG00000039046,ENSMAUG00000017742,Usp6nl,89.4299,89.1124,1,Usp6nl
ENSMUSG00000112589,,,,,,Gm48280
ENSMUSG00000112219,,,,,,Gm31904
ENSMUSG00000101621,,,,,,Gm28905
ENSMUSG00000112279,,,,,,Gm18774
ENSMUSG00000028962,ENSMAUG00000004472,Slc4a2,96.7664,96.8447,1,Slc4a2
ENSMUSG00000106410,,,,,,Gm29755
ENSMUSG00000027221,ENSMAUG00000011799,Chst1,97.3236,97.3236,1,Chst1
ENSMUSG00000106520,,,,,,Gm8706
ENSMUSG00000059474,ENSMAUG00000020463,Mbtd1,96.672,98.8655,1,Mbtd1
ENSMUSG00000037669,,,,,,Ldah
ENSMUSG00000035365,ENSMAUG00000006327,Parpbp,81.6754,81.6754,1,Parpbp
ENSMUSG00000107470,,,,,,Gm3375
ENSMUSG00000042678,ENSMAUG00000016878,Myo15,90.6864,91.468,1,Myo15
ENSMUSG00000106504,,,,,,Gm43529
ENSMUSG00000112719,,,,,,Gm45925
ENSMUSG00000078784,ENSMAUG00000013005,Rbis,63.3094,90.7216,1,Rbis
ENSMUSG00000090701,,,,,,Gm6486
ENSMUSG00000091936,,,,,,Gm3053
ENSMUSG00000106399,,,,,,Gm43530
ENSMUSG00000091483,,,,,,Gm8715
ENSMUSG00000103635,,,,,,Gm38061
ENSMUSG00000105800,,,,,,Gm18985
ENSMUSG00000110943,,,,,,Gm30674
ENSMUSG00000060427,ENSMAUG00000007713,Zfp868,84.1232,86.7971,1,Zfp868
ENSMUSG00000085992,,,,,,Gm11515
ENSMUSG00000112180,,,,,,Gm48085
ENSMUSG00000112503,,,,,,Gm18409
ENSMUSG00000043385,ENSMAUG00000014914,Olfr267,90.0958,84.1791,1,Olfr267
ENSMUSG00000078817,,,,,,Nlrp12
ENSMUSG00000081733,,,,,,Gm12852
ENSMUSG00000111962,,,,,,Gm20110
ENSMUSG00000028556,ENSMAUG00000005545,Dock7,98.3083,98.216,1,Dock7
ENSMUSG00000112412,,,,,,Gm35239
ENSMUSG00000057092,,,,,,Fxyd3
ENSMUSG00000020872,ENSMAUG00000006918,Tac4,75,75,1,Tac4
ENSMUSG00000118051,,,,,,Gm8714
ENSMUSG00000028717,ENSMAUG00000001565,Tal1,52.5836,94.5355,1,Tal1
ENSMUSG00000026944,ENSMAUG00000000733,Abca2,97.2051,97.1652,1,Abca2
ENSMUSG00000028527,ENSMAUG00000019985,,66.3677,78.7234,0,Ak4
ENSMUSG00000028527,ENSMAUG00000009918,,91.4798,94.0092,1,Ak4
ENSMUSG00000081564,,,,,,Gm13717
ENSMUSG00000107604,,,,,,Gm44041
ENSMUSG00000113435,,,,,,Gm19441
ENSMUSG00000054072,,,,,,Iigp1
ENSMUSG00000062353,,,,,,Gm15772
ENSMUSG00000112693,,,,,,Gm5512
ENSMUSG00000112810,,,,,,Gm35101
ENSMUSG00000039760,ENSMAUG00000009499,Il22ra2,70.4348,70.4348,1,Il22ra2
ENSMUSG00000027552,ENSMAUG00000013104,E2f5,86.5672,86.8263,1,E2f5
ENSMUSG00000111106,,,,,,Gm3318
ENSMUSG00000118648,,,,,,AC120367.1
ENSMUSG00000106658,,,,,,Gm36548
ENSMUSG00000113510,,,,,,Gm7239
ENSMUSG00000113032,,,,,,Gm47578
ENSMUSG00000112304,,,,,,Gm35206
ENSMUSG00000103120,,,,,,Gm37392
ENSMUSG00000113337,,,,,,Gm19220
ENSMUSG00000112463,,,,,,Gm47579
ENSMUSG00000114799,,,,,,Gm47978
ENSMUSG00000046934,ENSMAUG00000020525,,90.9871,91.1828,1,Csl
ENSMUSG00000117515,,,,,,Gm6883
ENSMUSG00000110909,,,,,,B020014A21Rik
ENSMUSG00000071434,,,,,,9230019H11Rik
ENSMUSG00000048456,,,,,,Olfr1448
ENSMUSG00000085976,,,,,,Gm13816
ENSMUSG00000107413,,,,,,Gm20553
ENSMUSG00000002409,ENSMAUG00000015877,Dyrk1b,97.8229,97.8229,1,Dyrk1b
ENSMUSG00000107999,,,,,,Gm44123
ENSMUSG00000086980,,,,,,Gm13791
ENSMUSG00000082586,,,,,,Sult2a-ps1
ENSMUSG00000082700,,,,,,Gm13792
ENSMUSG00000034312,ENSMAUG00000005597,Iqsec1,98.9081,98.9081,1,Iqsec1
ENSMUSG00000100887,,,,,,Gm29297
ENSMUSG00000117474,,,,,,Gm50086
ENSMUSG00000114166,,,,,,Gm18246
ENSMUSG00000081608,,,,,,Gm16210
ENSMUSG00000029451,,,,,,Gm13103
ENSMUSG00000112026,,,,,,Gm6653
ENSMUSG00000028998,ENSMAUG00000010590,Tomm7,100,100,1,Tomm7
ENSMUSG00000040274,ENSMAUG00000021142,Cdk6,59.816,96.0591,1,Cdk6
ENSMUSG00000040650,ENSMAUG00000017405,,47.0468,65.2542,0,Cyp2b23
ENSMUSG00000040650,ENSMAUG00000015580,,78.4114,78.4114,0,Cyp2b23
ENSMUSG00000040650,ENSMAUG00000001448,,76.5784,76.5784,0,Cyp2b23
ENSMUSG00000040650,ENSMAUG00000015652,,80.0407,80.0407,0,Cyp2b23
ENSMUSG00000040650,ENSMAUG00000000384,,68.8391,74.1228,0,Cyp2b23
ENSMUSG00000030336,ENSMAUG00000011094,,49.6,70.8571,0,Cd27
ENSMUSG00000114138,,,,,,Gm36423
ENSMUSG00000081304,,,,,,Gm11509
ENSMUSG00000020328,ENSMAUG00000012570,Nudcd2,99.3631,99.3631,1,Nudcd2
ENSMUSG00000090598,,,,,,Gm8164
ENSMUSG00000114162,,,,,,Gm3785
ENSMUSG00000117602,,,,,,9130209A04Rik
ENSMUSG00000114583,,,,,,Gm48881
ENSMUSG00000090472,,,,,,Gm3047
ENSMUSG00000113650,,,,,,Gm47826
ENSMUSG00000113885,,,,,,Gm47802
ENSMUSG00000099901,,,,,,Zbed4-ps2
ENSMUSG00000097822,,,,,,Gm26655
ENSMUSG00000070811,ENSMAUG00000000964,,72.1649,49.1228,0,Sult2a2
ENSMUSG00000108692,,,,,,Gm45034
ENSMUSG00000086401,,,,,,Gm15559
ENSMUSG00000115221,,,,,,Gm49121
ENSMUSG00000114130,,,,,,Gm18954
ENSMUSG00000102195,,,,,,Gm38168
ENSMUSG00000025939,ENSMAUG00000011854,Ube2w,93.3775,96.5753,1,Ube2w
ENSMUSG00000021156,ENSMAUG00000019703,Zmynd11,91.3907,89.3204,1,Zmynd11
ENSMUSG00000113007,,,,,,Gm8700
ENSMUSG00000067941,,,,,,Gm7168
ENSMUSG00000116996,,,,,,Gm8128
ENSMUSG00000095941,,,,,,Tle7
ENSMUSG00000084310,,,,,,Gm11950
ENSMUSG00000100655,,,,,,Gm21462
ENSMUSG00000019834,,,,,,Slc22a16
ENSMUSG00000079889,,,,,,Gm11951
ENSMUSG00000030188,ENSMAUG00000007271,Magohb,97.973,97.973,1,Magohb
ENSMUSG00000042940,,,,,,9230106D20Rik
ENSMUSG00000028759,ENSMAUG00000009268,,59.7473,86.8766,1,Hp1bp3
ENSMUSG00000028759,ENSMAUG00000015861,,21.6607,93.75,0,Hp1bp3
ENSMUSG00000058407,ENSMAUG00000013397,Txndc9,53.0973,97.561,1,Txndc9
ENSMUSG00000104506,,,,,,Gm37740
ENSMUSG00000080891,,,,,,Olfr587-ps1
ENSMUSG00000106588,,,,,,Gm17590
ENSMUSG00000101307,,,,,,Gm7356
ENSMUSG00000105534,,,,,,Gm42435
ENSMUSG00000044676,,,,,,Zfp612
ENSMUSG00000045312,ENSMAUG00000020241,Lhfpl2,91.8919,93.1507,1,Lhfpl2
ENSMUSG00000112299,,,,,,Gm17870
ENSMUSG00000116637,,,,,,Gm8130
ENSMUSG00000111242,,,,,,Gm8155
ENSMUSG00000071102,,,,,,Gm10313
ENSMUSG00000082714,,,,,,Gm15120
ENSMUSG00000111625,,,,,,Gm48097
ENSMUSG00000096833,,,,,,Igkv4-55
ENSMUSG00000108105,,,,,,Gm5340
ENSMUSG00000109692,,,,,,Gm8575
ENSMUSG00000110787,,,,,,Gm6667
ENSMUSG00000084262,ENSMAUG00000009617,Olfr588-ps1,96.1661,96.1661,1,Olfr588-ps1
ENSMUSG00000091618,,,,,,H60c
ENSMUSG00000070583,,,,,,Fv1
ENSMUSG00000106213,,,,,,Igkv13-55-1
ENSMUSG00000083254,,,,,,Gm15116
ENSMUSG00000062962,,,,,,Gm6378
ENSMUSG00000047171,ENSMAUG00000021096,Helt,93.75,93.361,1,Helt
ENSMUSG00000105301,,,,,,Igkv13-54-1
ENSMUSG00000004151,ENSMAUG00000015439,Etv1,98.3229,98.3229,1,Etv1
ENSMUSG00000024313,ENSMAUG00000000729,Mep1b,81.108,83.115,1,Mep1b
ENSMUSG00000019254,ENSMAUG00000021347,Ppp1r12c,84.6547,87.4505,1,Ppp1r12c
ENSMUSG00000100018,,,,,,Gm7776
ENSMUSG00000102510,,,,,,Olfr1398-ps1
ENSMUSG00000026234,,,,,,Ncl
ENSMUSG00000106435,,,,,,Gm3103
ENSMUSG00000117547,,,,,,Gm50072
ENSMUSG00000093774,,,,,,Vmn1r-ps151
ENSMUSG00000113921,,,,,,Gm48054
ENSMUSG00000115820,,,,,,Gm41311
ENSMUSG00000041773,ENSMAUG00000004740,Enc1,99.6604,99.6604,1,Enc1
ENSMUSG00000102457,,,,,,Gm38342
ENSMUSG00000056332,,,,,,Gm16294
ENSMUSG00000105160,,,,,,A530030E21Rik
ENSMUSG00000111114,,,,,,Gm18703
ENSMUSG00000020513,ENSMAUG00000021562,Tubd1,86.214,92.0879,1,Tubd1
ENSMUSG00000091764,ENSMAUG00000017867,Zfp964,74.7881,86.7322,1,Zfp964
ENSMUSG00000030823,,,,,,9130019O22Rik
ENSMUSG00000108426,,,,,,Olfr465-ps1
ENSMUSG00000113227,,,,,,4933433N18Rik
ENSMUSG00000090966,ENSMAUG00000011434,,63.0841,63.2318,0,Vmn2r116
ENSMUSG00000090966,ENSMAUG00000008384,,63.6682,63.9671,1,Vmn2r116
ENSMUSG00000097476,,,,,,Gm26583
ENSMUSG00000115069,,,,,,Gm7382
ENSMUSG00000116703,,,,,,Gm46540
ENSMUSG00000038803,ENSMAUG00000009438,Ost4,100,100,1,Ost4
ENSMUSG00000012889,ENSMAUG00000010711,Podnl1,84.6154,88.5768,1,Podnl1
ENSMUSG00000110179,,,,,,Gm39168
ENSMUSG00000116598,,,,,,Gm6438
ENSMUSG00000112694,,,,,,Gm33037
ENSMUSG00000087319,,,,,,Gm15907
ENSMUSG00000020988,ENSMAUG00000015336,L2hgdh,89.2241,89.4168,1,L2hgdh
ENSMUSG00000029073,ENSMAUG00000017271,Cptp,85.1852,85.1852,1,Cptp
ENSMUSG00000100701,,,,,,Gm19587
ENSMUSG00000107067,,,,,,Gm42581
ENSMUSG00000101395,,,,,,Gm8241
ENSMUSG00000109743,,,,,,Gm45255
ENSMUSG00000012520,ENSMAUG00000001793,,49.6815,83.871,0,Phox2b
ENSMUSG00000099916,,,,,,Gm28318
ENSMUSG00000035242,ENSMAUG00000011178,Oaz1,96.0352,98.1982,1,Oaz1
ENSMUSG00000061104,ENSMAUG00000005216,,62.2093,82.9457,0,Sap18b
ENSMUSG00000019320,ENSMAUG00000019212,Noxo1,83.3811,83.3811,1,Noxo1
ENSMUSG00000101670,,,,,,Gm21470
ENSMUSG00000045795,ENSMAUG00000000477,Whamm,76.1665,76.9427,1,Whamm
ENSMUSG00000068566,ENSMAUG00000021625,Myadm,89.375,90.2208,1,Myadm
ENSMUSG00000029165,ENSMAUG00000012736,Agbl5,87.3522,83.3145,1,Agbl5
ENSMUSG00000102844,,,,,,Gm38034
ENSMUSG00000039637,ENSMAUG00000022056,Coro7,91.6486,91.5493,1,Coro7
ENSMUSG00000106763,,,,,,Gm19102
ENSMUSG00000092405,,,,,,Gm20402
ENSMUSG00000083813,,,,,,Gm15502
ENSMUSG00000097180,,,,,,2700038G22Rik
ENSMUSG00000118180,,,,,,Gm50223
ENSMUSG00000107658,,,,,,Gm44958
ENSMUSG00000044167,ENSMAUG00000000234,Foxo1,93.0982,95.8926,1,Foxo1
ENSMUSG00000110661,,,,,,Gm31805
ENSMUSG00000029727,ENSMAUG00000009938,Cyp3a13,84.8907,84.8907,1,Cyp3a13
ENSMUSG00000114186,,,,,,Gm48681
ENSMUSG00000106995,,,,,,Gm33167
ENSMUSG00000101631,,,,,,Gm20884
ENSMUSG00000113091,,,,,,Gm9279
ENSMUSG00000049498,ENSMAUG00000010357,Olfr1449,65.9236,81.8182,1,Olfr1449
ENSMUSG00000099613,,,,,,Gm28313
ENSMUSG00000100773,,,,,,Gm28366
ENSMUSG00000114137,,,,,,Gm48685
ENSMUSG00000101557,,,,,,Gm28314
ENSMUSG00000112946,,,,,,Gm9280
ENSMUSG00000113910,,,,,,Gm48286
ENSMUSG00000101829,,,,,,Gm21752
ENSMUSG00000029167,ENSMAUG00000011811,Ppargc1a,96.6123,96.7337,1,Ppargc1a
ENSMUSG00000083007,,,,,,Gm13623
ENSMUSG00000113460,,,,,,Gm48686
ENSMUSG00000118576,,,,,,AC117663.1
ENSMUSG00000118017,,,,,,Gm29966
ENSMUSG00000101222,,,,,,Gm28315
ENSMUSG00000026387,ENSMAUG00000018939,Sctr,81.25,80.0425,1,Sctr
ENSMUSG00000070883,ENSMAUG00000021887,Ccdc173,83.181,83.181,1,Ccdc173
ENSMUSG00000107004,,,,,,Gm42657
ENSMUSG00000099496,,,,,,Gm28365
ENSMUSG00000007411,ENSMAUG00000009057,Mark3,95.5645,89.5466,1,Mark3
ENSMUSG00000030468,ENSMAUG00000018032,Siglecg,76.4535,76.5648,1,Siglecg
ENSMUSG00000100787,,,,,,Gm28316
ENSMUSG00000109445,,,,,,4930560O18Rik
